Entity Name,Description,Category,Image,Link,Size,Show,Fixed,X,Y
dominionsoc,"<a href=""https://www.instagram.com/dominionsoc/?hl=en"">A vanguard movement promoting Canadian nationalism and immigration reform to preserve the distinct Canadian nation.</a>

25000 followers","Anti-reconciliation,Conspiracy,Anti-immigration,White identity,Overt racism,""Tough on crime""",,,"25,000",true,false,,
gregwycliff,"<a href=""https://www.instagram.com/gregwycliffe/?hl=en"">Free Speech • Comedy • Reporting watch ""The Hate Network"" trailer now</a>

15500 followers","Conspiracy,Anti-immigration,White identity,Overt racism",,,"15,500",true,false,,
dgvtyrie,"<a href=""https://www.instagram.com/dgvtyrie/?hl=en"">Canadian Nationalist 🍁 • Founder & Chairman @dominionsoc</a>

1200 followers","Conspiracy,Anti-immigration,White identity,Overt racism",,,"1,200",true,false,,
northernbigotrymatt,"<a href=""https://www.instagram.com/northernbigotrymatt/?hl=en"">Bigotry from the Great WHITE North</a>

4000 followers",,,,"4,000",true,false,,
tammy.m.peterson,"<a href=""https://www.instagram.com/tammy.m.peterson/"">I help women of faith find clarity and strength through conversations on tradition, motherhood, and healing.</a>

101000 followers","Conspiracy,Christian identity",,,"101,000",true,false,,
capolitt,"<a href=""https://www.instagram.com/capolitt/?hl=en"">Canadian Politics | Latest News updates | No Spin</a>

8100 followers",,,,"8,100",true,false,,
proud_pinko,"<a href=""https://www.instagram.com/proud_pinko/"">Comms and marketing @ualbertandp</a>

1100 followers","Anti-racism,Anti-corporate,Pro-worker,Anti-misinformation,Pro-NDP",,,"1,100",true,false,,
daveberta,"<a href=""https://www.instagram.com/daveberta/"">Writing and podcasting about Alberta politics and elections since 2005.</a>

3437 followers","Pro-worker,Anti-MAGA,Anti-misinformation",,,"3,437",true,false,,
bobkronbauer,"<a href=""https://www.instagram.com/bobkronbauer/"">Host of Now You Know BC</a>

99000 followers",,,,"99,000",true,false,,
alberta.unchained,"<a href=""https://www.instagram.com/alberta.unchained/"">For the proud. For the free. For Alberta</a>

16000 followers","Anti-Trans,Conspiracy,Alberta separatist,Anti-China,Anti-immigration,Anti-tax/Anti-regulation,Pro-fossil fuels industry,Pro-Conservative Party,Anti-left propoganda",,,"16,000",true,false,,
canadainformed,"<a href=""https://www.instagram.com/canadainformed/"">Independent Canadian MEDIA Page 🇨🇦</a>

23600 followers","""Tough on crime""",,,"23,600",true,false,,
jacobbbradshaw,"<a href=""https://www.instagram.com/jacobbbradshaw/"">Canadian Zoomer ☦︎ Lord Jesus Christ, have mercy on me a sinner.</a>

7100 followers","Conspiracy,Christian identity,White identity,Overt racism,Anti-left propoganda",,,"7,100",true,false,,
dacey_media,"<a href=""https://www.instagram.com/dacey_media/"">Independent Media - Ottawa, ON, Canada</a>

19200 followers","Anti-Trans,Conspiracy,Anti-government,Anti-left propoganda",,,"19,200",true,false,,
thekelsisherenperspective,"<a href=""https://www.instagram.com/thekelsisherenperspective/"">The KSP covers cracks in the media, culture, and leadership. One brutally honest conversation at a time.</a>

19600 followers","Anti-Trans,Conspiracy,Christian identity",,,"19,600",true,false,,
realnicolagan,"<a href=""https://www.instagram.com/realnicolagan/"">Independent Reporter | Podcaster</a>

48000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-immigration,White identity,""Tough on crime"",Anti-left propoganda",,,"48,000",true,false,,
national_firearms_association,"<a href=""https://www.instagram.com/national_firearms_association/"">From Coast to Coast for over 40 years, NFA has fought for the Rights and Freedoms of Canadians.</a>

12000 followers",Anti-left propoganda,,,"12,000",true,false,,
truthseeker01011,"<a href=""https://www.instagram.com/truthseeker01011/"">Optimistic citizen searching for the truth in a world full of lies</a>

282000 followers","Anti-vaccine,Conspiracy,Christian identity,Anti-immigration,""Tough on crime"",Anti-tax/Anti-regulation,MAGA,Anti-left propoganda",,,"282,000",true,false,,
ungovernable_melissa,"<a href=""https://www.instagram.com/ungovernable_melissa/"">AWAKE not WOK</a>

227000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Climate change denial,Anti-left propoganda",,,"227,000",true,false,,
dontgetplayedbypierre,"<a href=""https://www.instagram.com/dontgetplayedbypierre/"">Poilievre is pretending to care about you.</a>

5000 followers","Pro-environment,Anti-fossil fuels,Anti-corporate,Pro-worker,Anti-MAGA,Anti-misinformation,Anti-right propoganda",,,"5,000",true,false,,
policyalternatives,"<a href=""https://www.instagram.com/policyalternatives/"">The CCPA is Canada’s leading progressive policy research institute.</a>

11300 followers","Pro-Indigenous rights,Pro-LGBTQ rights,Anti-racism,Pro-environment,Anti-corporate,Pro-worker,Anti-MAGA,Anti-misinformation",,,"11,300",true,false,,
realtalkrj,"<a href=""https://www.instagram.com/realtalkrj/"">News, politics & pop culture with @RyanJespersen</a>

10200 followers",Anti-misinformation,,,"10,200",true,false,,
therealmresq,"<a href=""https://www.instagram.com/therealmresq/"">Loving father & husband</a>

19500 followers","Conspiracy,Anti-tax/Anti-regulation,Anti-left propoganda",,,"19,500",true,false,,
lastchanceforcanada,"<a href=""https://www.instagram.com/lastchanceforcanada/"">Commentary on 11 Years of Liberal Government.</a>

9000 followers","Conspiracy,""Tough on crime"",Pro-Conservative Party,Anti-left propoganda",,,"9,000",true,false,,
savecanadaofficial,"<a href=""https://www.instagram.com/savecanadaofficial/""></a>

30000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-immigration,White identity,Overt racism,Anti-tax/Anti-regulation,Anti-left propoganda",,,"30,000",true,false,,
thekaylorbetts,"<a href=""https://www.instagram.com/thekaylorbetts/"">Comedy, Politics, Business.</a>

354000 followers","Anti-Trans,Anti-vaccine,Conspiracy,White identity,Anti-tax/Anti-regulation,Climate change denial,Anti-left propoganda",,,"354,000",true,false,,
thetallowedtruth,"<a href=""https://www.instagram.com/thetallowedtruth/"">For Fat & Freedom. Fighting “Big Scent” with 🐄 based cosmetics.</a>

72000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Climate change denial,Pro-Conservative Party,Anti-left propoganda",,,"72,000",true,false,,
nonnegotiable.brand,"<a href=""https://www.instagram.com/nonnegotiable.brand/"">God ✝ Family ✝ Country</a>

4500 followers","Anti-Trans,Conspiracy,""Tough on crime"",MAGA,Pro-Conservative Party,Anti-left propoganda",,,"4,500",true,false,,
matpiche,"<a href=""https://www.instagram.com/matpiche/"">Left Socialist Canada. Built in America.</a>

140000 followers","Conspiracy,Anti-tax/Anti-regulation,Anti-left propoganda",,,"140,000",true,false,,
alexa__lavoie,"<a href=""https://www.instagram.com/alexa__lavoie/"">Quebec based journalist for @news.rebel</a>

23000 followers","Conspiracy,Anti-immigration,""Tough on crime"",Anti-left propoganda",,,"23,000",true,false,,
justicecentre,"<a href=""https://www.instagram.com/justicecentre/"">The Justice Centre is a registered charity dedicated to defending the constitutional freedoms of all Canadians</a>

6800 followers","Conspiracy,Anti-left propoganda",,,"6,800",true,false,,
theresistancecc,"<a href=""https://www.instagram.com/theresistancecc/"">Resist Evil. Do Good.</a>

1600 followers","Conspiracy,Christian identity,Anti-government,Anti-tax/Anti-regulation,Climate change denial,Pro-fossil fuels industry,Anti-left propoganda",,,"1,600",true,false,,
riseofalberta,"<a href=""https://www.instagram.com/riseofalberta/"">Accelerating Alberta’s journey toward Independence.</a>

84000 followers","Conspiracy,Alberta separatist,Pro-UCP,Anti-left propoganda",,,"84,000",true,false,,
jeremymackenzie674,"<a href=""https://www.instagram.com/jeremymackenzie674/"">Canadian Nationalist</a>

28000 followers","Conspiracy,Anti-immigration,White identity,Overt racism,Anti-government,Anti-tax/Anti-regulation",,,"28,000",true,false,,
vaccine.choice.canada,"<a href=""https://www.instagram.com/vaccine.choice.canada/"">Federal non-profit educational society helping families make voluntary, informed, and health-conscious choices</a>

51000 followers","Anti-vaccine,Conspiracy",,,"51,000",true,false,,
albertaprosperityproject,"<a href=""https://www.instagram.com/albertaprosperityproject/"">Educating and Advocating For A Sovereign Alberta</a>

30000 followers","Conspiracy,Alberta separatist",,,"30,000",true,false,,
canadians_for_truth,"<a href=""https://www.instagram.com/canadians_for_truth/"">Non-profit organization aimed at bringing Truth, Freedom and Justice to Canadians.</a>

7500 followers","Anti-vaccine,Conspiracy,Christian identity,Alberta separatist",,,"7,500",true,false,,
blue.collar.canada,"<a href=""https://www.instagram.com/blue.collar.canada/"">Canadian Blue Collar Apparel 🇨🇦</a>

5500 followers",,,,"5,500",true,false,,
danielbulford,"<a href=""https://www.instagram.com/danielbulford/"">Pro-Freedom, Canadian</a>

5500 followers","Anti-vaccine,Conspiracy",,,"5,500",true,false,,
freedomconvoy2022,"<a href=""https://www.instagram.com/freedomconvoy2022/"">2022 Freedom Convoy Documented From Start To Finish</a>

369000 followers","Anti-vaccine,Conspiracy,Pro-Conservative Party,Anti-left propoganda",,,"369,000",true,false,,
liberty_dispatch,"<a href=""https://www.instagram.com/liberty_dispatch/"">Canadian news, culture, and politics from a distinctly Christian worldview</a>

11000 followers","Anti-Trans,Anti-vaccine,Conspiracy,Christian identity,Climate change denial,Anti-left propoganda",,,"11,000",true,false,,
barter_it,"<a href=""https://www.instagram.com/barter_it/"">🇨🇦Launched Oct 1st- Canada’s Freedom-Loving Barter System! Find your peeps, barter direct or use BITS™ and shop like-minded businesses!</a>

24000 followers","Anti-vaccine,Conspiracy,Alberta separatist,""Tough on crime"",Anti-tax/Anti-regulation,Pro-Conservative Party,Anti-left propoganda",,,"24,000",true,false,,
sflcanada,"<a href=""https://www.instagram.com/sflcanada/"">Official Canada account for @sfliberty</a>

7700 followers","Anti-tax/Anti-regulation,Anti-left propoganda",,,"7,700",true,false,,
arpacanada,"<a href=""https://www.instagram.com/arpacanada/"">The Association for Reformed Political Action - educating, equipping, and encouraging Christians for political action.</a>

4600 followers",Christian identity,,,"4,600",true,false,,
riseup_canada,"<a href=""https://www.instagram.com/riseup_canada/"">Fighting to keep our rights to medical freedom.</a>

57000 followers","Anti-vaccine,Conspiracy,Christian identity",,,"57,000",true,false,,
thenewright_hq,"<a href=""https://www.instagram.com/thenewright_hq/"">God • Family • Guns • Freedom!</a>

1600 followers","Anti-Trans,Anti-vaccine,Conspiracy,Christian identity,Anti-government",,,"1,600",true,false,,
action4canadaofficial,"<a href=""https://www.instagram.com/action4canadaofficial/"">Action4Canada is a national movement reaching out to millions of Canadians.</a>

8400 followers","Anti-Trans,Anti-reconciliation,Anti-vaccine,Conspiracy,Christian identity,White identity,Anti-government,Climate change denial,Anti-left propoganda",,,"8,400",true,false,,
blnewsmedia,"<a href=""https://www.instagram.com/blnewsmedia/"">Support independent media.</a>

20000 followers","Anti-vaccine,Conspiracy,Anti-government",,,"20,000",true,false,,
vets4freedom,"<a href=""https://www.instagram.com/vets4freedom/"">A human rights advocacy and veteran community group in Canada</a>

5400 followers","Anti-Trans,Anti-vaccine,Conspiracy,Anti-government,Climate change denial,MAGA,Anti-left propoganda",,,"5,400",true,false,,
edmontonwildin,"<a href=""https://www.instagram.com/edmontonwildin/"">The good, the bad and the ugly</a>

106000 followers",,,,"106,000",false,false,,
samantha_lotus,"<a href=""https://www.instagram.com/samantha_lotus/"">For awake, high-achieving female leaders.</a>

112000 followers","Anti-vaccine,Conspiracy,Christian identity,Alberta separatist,White identity,Anti-left propoganda",,,"112,000",true,false,,
winnipegwildin,"<a href=""https://www.instagram.com/winnipegwildin/"">The Good the Bad and the Ugly</a>

257000 followers",,,,"257,000",false,false,,
riseofalberta2.0,"<a href=""https://www.instagram.com/riseofalberta2.0/"">Back up to @riseofalberta</a>

20000 followers","Conspiracy,Alberta separatist,Pro-UCP,Anti-left propoganda",,,"20,000",true,false,,
